DEBUG: General     , 1772727682075> LoggerManager.init                  > Initializing...
LOG  : General     , 1772727682388> closest width=2048 freq=144
LOG  : General     , 1772727682388> closest width=2560 freq=60
LOG  : General     , 1772727682388> closest width=2560 freq=120
LOG  : General     , 1772727682458> 1772727682458 fmod: FMOD::Studio::System::Initialize() result: No errors.
LOG  : General     , 1772727682461> 1772727682461 fmod: Creating DSP for capture sound
LOG  : General     , 1772727682461> 1772727682461 fmod: FMOD_System_CreateDSP() result: No errors.
LOG  : General     , 1772727682461> 1772727682461 fmod: FMOD_DSP_SetBypass() result: No errors.
LOG  : General     , 1772727682462> 1772727682462 fmod: FMOD_System_GetMasterChannelGroup() result: No errors.
LOG  : General     , 1772727682473> 1772727682473 fmod: FMOD_ChannelGroup_AddDSP() result: No errors.
LOG  : General     , 1772727682474> 1772727682474 fmod: FMOD_System_Set3DSettings() result: No errors.
LOG  : General     , 1772727682596> GraphicsCard: Apple Apple M4
LOG  : General     , 1772727682596> OpenGL version: 2.1 Metal - 90.5
LOG  : General     , 1772727682597> Desktop resolution 2560x1440
LOG  : General     , 1772727682599> Initial resolution 2560x1440 fullScreen=true
LOG  : General     , 1772727682599> OpenGL 1.5 buffer objects supported
LOG  : General     , 1772727682600> VSync: OFF
LOG  : General     , 1772727684369> AngelCodeFont failed to load page 0 texture /Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/media/mainfont_0.png
LOG  : General     , 1772727684372> AngelCodeFont failed to load page 0 texture /Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/media/mainfont2_0.png
WARN : General     , 1772727684377> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1772727684378> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1772727684378> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1772727684378> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
LOG  : General     , 1772727684379> AngelCodeFont failed to load page 0 texture /Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/media/fonts/zomboidDialogue.bmfc_0.png
WARN : General     , 1772727684390> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1772727684533> Loading networking libraries...
LOG  : General     , 1772727684533> Loading steam_api...
LOG  : General     , 1772727684536> Loading RakNet...
LOG  : General     , 1772727684538> Loading ZNetJNI...
LOG  : Network     , 1772727684542> [06-03-26 00:21:24.542] > ZNet: SetLogLevel 2
LOG  : Network     , 1772727684546> [06-03-26 00:21:24.546] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1772727684547> SteamUtils initialised successfully
LOG  : General     , 1772727684713> AngelCodeFont failed to load page 0 texture /Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/media/mainfont_0.png
LOG  : General     , 1772727684724> AngelCodeFont failed to load page 0 texture /Users/zhangyuhao/Library/Application Support/Steam/steamapps/common/ProjectZomboid/Project Zomboid.app/Contents/Java/media/mainfont2_0.png
WARN : General     , 1772727684729> TextManager.Init> font "MediumNew" not found in fonts.txt
WARN : General     , 1772727684729> TextManager.Init> font "AutoNormSmall" not found in fonts.txt
WARN : General     , 1772727684729> TextManager.Init> font "AutoNormMedium" not found in fonts.txt
WARN : General     , 1772727684729> TextManager.Init> font "AutoNormLarge" not found in fonts.txt
WARN : General     , 1772727684729> TextManager.Init> font "DebugConsole" not found in fonts.txt
LOG  : General     , 1772727684938> translator: language is CN
LOG  : General     , 1772727685228> texturepack: loading UI
LOG  : General     , 1772727685261> texturepack: loading UI2
LOG  : General     , 1772727685273> texturepack: loading IconsMoveables
LOG  : General     , 1772727685275> texturepack: loading RadioIcons
LOG  : General     , 1772727685275> texturepack: loading ApComUI
LOG  : General     , 1772727685280> texturepack: loading Mechanics
LOG  : General     , 1772727685284> texturepack: loading WeatherFx
WARN : Recipe      , 1772727687006> RecipeManager.resolveItemModuleDotType> WARNING: module "Base" may have forgot to import module Base
